Métricas,Acurácia,F1,Recall,Precisão,Valor 1,Valor 2,Número de variáveis
IA+IE,0.5179748423099996,0.0,0.0,0.0,0.0,0.0,1
IA+AC,0.9268848575185261,0.9224011093607347,0.9015967826464226,0.9443544910457939,50.202745491965395,5.3023144465568133e-05,7
IA+SU,0.5179748423099996,0.0,0.0,0.0,0.0,1.0,1
IA+LS,0.9268848575185261,0.9224011093607347,0.9015967826464226,0.9443544910457939,50.202745491965395,3.0,7
IE+AC,0.7557868140257756,0.739394470743639,0.7206277765396998,0.7593212630376442,3.758987210508123,2.3559303411911422e-05,1
IE+SU,0.7557868140257756,0.739394470743639,0.7206277765396998,0.7593212630376442,3.758987210508123,0.20696237381017527,1
IE+LS,0.9590136270820835,0.9572910830891516,0.9541665883259712,0.9605393815608396,0.01240076061355332,10.5,22
AC+SU,0.8442872593750568,0.8403021899051473,0.8504336230250062,0.830732134095485,9.149615365790475e-05,0.10113332888421701,10
AC+LS,0.9590136270820835,0.9572910830891516,0.9541665883259712,0.9605393815608396,0.0002794887354207599,10.5,22
SU+LS,0.9590136270820835,0.9572910830891516,0.9541665883259712,0.9605393815608396,0.24141203137623332,10.5,22
Todas as variáveis,0.9590136270820835,0.9572910830891516,0.9541665883259712,0.9605393815608396,0.0,0.0,22
