Métricas,Acurácia,F1,Recall,Precisão,Valor 1,Valor 2,Número de variáveis
IA+IE,0.7173809523809523,0.6433055489402238,0.5897474747474748,0.7659920634920635,0.9406556518491662,0.0014114689590952797,27
IA+AC,0.7226190476190475,0.6688632119514473,0.6765151515151515,0.7389393939393939,1.0618561083817462,0.006768232417670597,38
IA+SU,0.7026190476190475,0.6574603174603174,0.6663131313131313,0.679105339105339,0.5788189415257974,0.22208190428218927,16
IA+LS,0.693095238095238,0.6482159945317838,0.6372222222222222,0.6932142857142857,0.31247605005228396,0.493483648168958,16
IE+AC,0.7459523809523809,0.7010956879377932,0.6800505050505051,0.7582936507936509,0.010384661175350612,0.0030082184188828373,8
IE+SU,0.6147619047619047,0.551626559714795,0.5611616161616161,0.5933044733044732,0.1251560230333424,0.22286109282481864,1
IE+LS,0.6490476190476191,0.5953660924558758,0.5936363636363635,0.6479745254745255,0.0005425719740358908,0.6454875016794219,15
AC+SU,0.7157142857142856,0.6639518814518814,0.640151515151515,0.7498556998556999,0.008235286090028722,0.22825844853312452,47
AC+LS,0.720952380952381,0.6600627133444471,0.6146464646464647,0.7432142857142857,0.002437478299873919,0.6126476350676209,20
SU+LS,0.6054761904761905,0.5156719217053716,0.49424242424242415,0.6291666666666667,0.2274996994022921,0.6763688270329185,15
Todas as variáveis,0.7797619047619048,0.7493283909073384,0.7393939393939394,0.7743939393939394,0.0,0.0,60
